step,time_h,TS,TR,TB,TG,SH,LH,G,RN,TC,UST,ALB,LW
11,  1.83333333333333320E-001,  2.87204066758915872E+002,  2.86906977289329348E+002,  2.88422555358679119E+002,  2.87670677590146795E+002,  7.77935656432988587E+000,  0.00000000000000000E+000,  7.38844717785569571E+001, -6.61036592984837199E+001,  2.87609497058193597E+002,  2.84708906622995139E-001,  0.00000000000000000E+000,  3.86103659298483706E+002
12,  2.00000000000000011E-001,  2.87170907049165066E+002,  2.86862109606042964E+002,  2.88393402403515893E+002,  2.87646506821808430E+002,  7.59131992846251347E+000,  0.00000000000000000E+000,  7.35167539516792345E+001, -6.59240132995456349E+001,  2.87585662675133051E+002,  2.84198642283110425E-001,  0.00000000000000000E+000,  3.85924013299545663E+002
13,  2.16666666666666674E-001,  2.87138372516137281E+002,  2.86818116116557576E+002,  2.88364695866485533E+002,  2.87622503804829591E+002,  7.40979590348082606E+000,  0.00000000000000000E+000,  7.31585630257599036E+001, -6.57473803717923175E+001,  2.87562076517859168E+002,  2.83686806651139267E-001,  0.00000000000000000E+000,  3.85747380371792303E+002
14,  2.33333333333333337E-001,  2.87106442390219286E+002,  2.86774967578275380E+002,  2.88336422260513814E+002,  2.87598665984800334E+002,  7.23453012204744894E+000,  0.00000000000000000E+000,  7.28095484629315450E+001, -6.55736643922997757E+001,  2.87538732799836964E+002,  2.83171800652748884E-001,  0.00000000000000000E+000,  3.85573664392299747E+002
15,  2.50000000000000000E-001,  2.87075096784053301E+002,  2.86732635924047486E+002,  2.88308568618375944E+002,  2.87574990893842028E+002,  7.06527887108778962E+000,  0.00000000000000000E+000,  7.24693742655016848E+001, -6.54027731220619017E+001,  2.87515625954708355E+002,  2.82651392636761367E-001,  0.00000000000000000E+000,  3.85402773122061888E+002
16,  2.66666666666666663E-001,  2.87044316496313343E+002,  2.86691094329662519E+002,  2.88281122470693845E+002,  2.87551476146982395E+002,  6.90180672659298544E+000,  0.00000000000000000E+000,  7.21377167242310264E+001, -6.52346183199124852E+001,  2.87492750627161683E+002,  2.82122122482362847E-001,  0.00000000000000000E+000,  3.85234618319912499E+002
17,  2.83333333333333326E-001,  2.87014082478721207E+002,  2.86650317545147743E+002,  2.88254071824924836E+002,  2.87528119438695057E+002,  6.74388012909729806E+000,  0.00000000000000000E+000,  7.18142587459399664E+001, -6.50691164958499542E+001,  2.87470101664199035E+002,  2.81577625720320301E-001,  0.00000000000000000E+000,  3.85069116495849926E+002
18,  2.99999999999999989E-001,  2.86984373799913271E+002,  2.86610283689585003E+002,  2.88227405145294995E+002,  2.87504918539596076E+002,  6.59124284021135587E+000,  0.00000000000000000E+000,  7.14986516911451844E+001, -6.49061955620134512E+001,  2.87447674106784746E+002,  2.81001384330192672E-001,  0.00000000000000000E+000,  3.84906195562013465E+002
19,  3.16666666666666652E-001,  2.86955223983517897E+002,  2.86570930088227954E+002,  2.88201111333633719E+002,  2.87481871293289828E+002,  6.44429504187636315E+000,  0.00000000000000000E+000,  7.11911601307752164E+001, -6.47456786136723821E+001,  2.87425463181858674E+002,  2.80475090837598251E-001,  0.00000000000000000E+000,  3.84745678613672396E+002
20,  3.33333333333333315E-001,  2.86926696507256111E+002,  2.86532172527594696E+002,  2.88175179711065653E+002,  2.87458975613356642E+002,  6.30379800260202572E+000,  0.00000000000000000E+000,  7.08923037621758283E+001, -6.45873449852942230E+001,  2.87403464294695141E+002,  2.80213384738728200E-001,  0.00000000000000000E+000,  3.84587344985294237E+002
21,  3.49999999999999978E-001,  2.86898608833371668E+002,  2.86494113891496681E+002,  2.88149600000520536E+002,  2.87436229480476754E+002,  6.16754754034352626E+000,  0.00000000000000000E+000,  7.06001074769573762E+001, -6.44314239788065208E+001,  2.87381673021595418E+002,  2.79909911611884443E-001,  0.00000000000000000E+000,  3.84431423978806492E+002
22,  3.66666666666666641E-001,  2.86870960620011942E+002,  2.86456722979608514E+002,  2.88124362310022946E+002,  2.87413630939683344E+002,  6.03553568255762407E+000,  0.00000000000000000E+000,  7.03144693927626037E+001, -6.42778218178293059E+001,  2.87360085102895880E+002,  2.79591443277212803E-001,  0.00000000000000000E+000,  3.84277821817829306E+002
23,  3.83333333333333359E-001,  2.86843742207434559E+002,  2.86419976668757784E+002,  2.88099457116725034E+002,  2.87391178097737907E+002,  5.90764215901599599E+000,  0.00000000000000000E+000,  7.00351956649019627E+001, -6.41264649412879493E+001,  2.87338696436278894E+002,  2.79267576709302245E-001,  0.00000000000000000E+000,  3.84126464941287963E+002
24,  4.00000000000000022E-001,  2.86816941920863371E+002,  2.86383854501031806E+002,  2.88074875251647256E+002,  2.87368869120623685E+002,  5.78372243050067514E+000,  0.00000000000000000E+000,  6.97620752921818905E+001, -6.39772869106623148E+001,  2.87317503070373050E+002,  2.78942481844581980E-001,  0.00000000000000000E+000,  3.83977286910662315E+002
25,  4.16666666666666685E-001,  2.86790547674125719E+002,  2.86348337463095902E+002,  2.88050607885094962E+002,  2.87346702231150971E+002,  5.66362701912083910E+000,  0.00000000000000000E+000,  6.94948964739958939E+001, -6.38302254289189506E+001,  2.87296501198628846E+002,  2.78618385959879256E-001,  0.00000000000000000E+000,  3.83830225428918936E+002
26,  4.33333333333333348E-001,  2.86764547465410885E+002,  2.86313407578139163E+002,  2.88026646512718969E+002,  2.87324675706668359E+002,  5.54720748425668386E+000,  0.00000000000000000E+000,  6.92334515727833093E+001, -6.36852213250838730E+001,  2.87275687153458591E+002,  2.78296616029698518E-001,  0.00000000000000000E+000,  3.83685221325083887E+002
27,  4.50000000000000011E-001,  2.86738929571934875E+002,  2.86279047718623190E+002,  2.88002982942190215E+002,  2.87302787876876437E+002,  5.43431876912212530E+000,  0.00000000000000000E+000,  6.89775389810226329E+001, -6.35422180740118705E+001,  2.87255057400628004E+002,  2.77978012180342793E-001,  0.00000000000000000E+000,  3.83542218074011885E+002
28,  4.66666666666666674E-001,  2.86713682634762108E+002,  2.86245241500329314E+002,  2.87979609280459329E+002,  2.87281037121737313E+002,  5.32482022327450100E+000,  0.00000000000000000E+000,  6.87269638617141112E+001, -6.34011615140689102E+001,  2.87234608533886842E+002,  2.77663123957266111E-001,  0.00000000000000000E+000,  3.83401161514068917E+002
29,  4.83333333333333337E-001,  2.86688795695568786E+002,  2.86211973212858538E+002,  2.87956517921576221E+002,  2.87259421869477762E+002,  5.21857604583589740E+000,  0.00000000000000000E+000,  6.84815383988352551E+001, -6.32619996542516390E+001,  2.87214337269832697E+002,  2.77352315157152918E-001,  0.00000000000000000E+000,  3.83261999654251667E+002
30,  5.00000000000000000E-001,  2.86664258209819195E+002,  2.86179227768884346E+002,  2.87933701535040768E+002,  2.87237940594678832E+002,  5.11545544438424837E+000,  0.00000000000000000E+000,  6.82410818099599226E+001, -6.31246825278622978E+001,  2.87194240442989667E+002,  2.77045824724383827E-001,  0.00000000000000000E+000,  3.83124682527862319E+002
